日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210430,8275,フォーバル,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20210430,8276,平和堂,市場第一部（内国株）,6100,小売業,14,小売 ,6,TOPIX Small 1
20210430,8278,フジ,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8279,ヤオコー,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
20210430,8281,ゼビオホールディングス,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8282,ケーズホールディングス,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
20210430,8283,ＰＡＬＴＡＣ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,4,TOPIX Mid400
20210430,8285,三谷産業,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20210430,8287,マックスバリュ西日本,市場第二部（内国株）,6100,小売業,14,小売 ,,
20210430,8289,Ｏｌｙｍｐｉｃグループ,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8291,日産東京販売ホールディングス,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8298,ファミリー,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,8301,日本銀行　出資証券,出資証券,,,,,,
20210430,8303,新生銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20210430,8304,あおぞら銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20210430,8306,三菱ＵＦＪフィナンシャル・グループ,市場第一部（内国株）,7050,銀行業,15,銀行 ,1,TOPIX Core30
20210430,8308,りそなホールディングス,市場第一部（内国株）,7050,銀行業,15,銀行 ,2,TOPIX Large70
20210430,8309,三井住友トラスト・ホールディングス,市場第一部（内国株）,7050,銀行業,15,銀行 ,2,TOPIX Large70
20210430,8316,三井住友フィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行 ,1,TOPIX Core30
20210430,8331,千葉銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20210430,8334,群馬銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20210430,8336,武蔵野銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20210430,8337,千葉興業銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20210430,8338,筑波銀行,市場第一部（内国株）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
